Date,Open,High,Low,Close,Adj Close,Volume
2021-08-20,8.952500,8.952500,8.952500,8.921250,8.921250,100
2021-08-23,9.000000,9.000000,9.000000,8.950000,8.950000,100
2021-08-24,9.195740,9.195740,9.195740,9.161250,9.161250,2
2021-08-25,9.250000,9.250000,9.190000,9.211250,9.211250,3550
2021-08-26,9.137500,9.137500,9.137500,9.137500,9.137500,0
2021-08-27,9.115000,9.115000,9.115000,9.096250,9.096250,152
2021-08-31,9.027730,9.027730,9.027730,9.135000,9.135000,6
2021-09-01,9.073750,9.073750,9.073750,9.073750,9.073750,0
2021-09-02,9.082500,9.082500,9.082500,9.082500,9.082500,0
2021-09-03,9.128750,9.128750,9.128750,9.128750,9.128750,0
2021-09-06,9.150000,9.150000,9.150000,9.176250,9.176250,343
2021-09-07,9.227090,9.227090,9.227090,9.262500,9.262500,4
2021-09-08,9.275000,9.275000,9.275000,9.352500,9.352500,5
2021-09-09,9.345000,9.372500,9.345000,9.343750,9.343750,2965
2021-09-10,9.445000,9.445000,9.445000,9.421250,9.421250,30
2021-09-13,9.351250,9.351250,9.351250,9.351250,9.351250,0
2021-09-14,9.184990,9.184990,9.184990,9.290000,9.290000,6
2021-09-15,9.292500,9.292500,9.292500,9.347500,9.347500,25
2021-09-16,9.367500,9.367500,9.367500,9.367500,9.367500,0
2021-09-17,9.132500,9.420000,9.132500,9.363750,9.363750,5100
2021-09-20,9.197500,9.197500,9.197500,9.197500,9.197500,0
2021-09-21,9.110000,9.346600,9.042500,9.040000,9.040000,3013
2021-09-22,9.211250,9.211250,9.211250,9.211250,9.211250,0
2021-09-23,9.302500,9.370000,9.302500,9.368750,9.368750,10987
2021-09-24,9.602500,9.602500,9.542500,9.495000,9.495000,5950
2021-09-27,9.462500,9.475000,9.347500,9.342500,9.342500,21920
2021-09-28,9.362500,9.362500,9.202960,9.332500,9.332500,2000
2021-09-29,9.271250,9.271250,9.271250,9.271250,9.271250,0
2021-09-30,9.167500,9.167500,9.167500,9.167500,9.167500,0
2021-10-01,9.110000,9.110000,9.035000,9.078750,9.078750,351
2021-10-04,9.265000,9.265000,9.265000,9.192500,9.192500,3000
2021-10-05,9.225220,9.225220,9.070940,9.261250,9.261250,101
2021-10-06,9.195000,9.195000,9.195000,9.147500,9.147500,24
2021-10-07,9.280000,9.280000,9.280000,9.280000,9.280000,0
2021-10-08,9.605000,9.612500,9.597500,9.603750,9.603750,14215
2021-10-11,9.725000,9.725000,9.725000,9.841250,9.841250,5700
2021-10-12,9.820000,9.955000,9.170030,9.911250,9.911250,18614
2021-10-13,10.275000,10.285000,10.275000,10.330000,10.330000,73
2021-10-14,10.795000,10.795000,10.640000,10.772500,10.772500,11278
2021-10-15,10.765000,11.820000,10.765000,11.515000,11.515000,11019
2021-10-18,11.690000,11.690000,11.300000,11.237500,11.237500,16350
2021-10-19,11.190000,11.190000,10.636200,10.770000,10.770000,327
2021-10-20,10.835000,10.835000,10.835000,10.915000,10.915000,5100
2021-10-21,11.005000,11.010000,10.375000,10.445000,10.445000,147728
2021-10-22,10.180000,10.580000,10.180000,10.367500,10.367500,83375
