Open,Close,High,Low,Volume,Date
0,2633.35,2633.35,2619,796.00,12/08/21
0,2628.65,2628.7,2597.03,985.00,12/07/21
0,2592.85,2598.85,2584.5,707.00,12/06/21
0,2621.45,2646,2611,815.00,12/03/21
0,2607.65,2664.75,2599.8,1,310.00,12/02/21
0,2664.65,2666.03,2629.61,1,984.00,12/01/21
0,2626.65,2656.45,2617.53,220.00,11/30/21
0,2629.8,2657.99,2611,1,100.00,11/29/21
0,2624.93,2707.6,2614.8,1,226.00,11/26/21
0,2706.74,2734.85,2701,377.00,11/25/21
0,2703.85,2706.85,2683.5,1,474.00,11/24/21
0,2672.85,2708,2667.1,1,071.00,11/23/21
0,2684.88,2706,2647.5,548.00,11/22/21
0,2675.9,2692,2642.01,780.00,11/19/21
0,2600.29,2625,2573,914.00,11/18/21
0,2611.43,2622.35,2583.75,789.00,11/17/21
0,2570.98,2653.75,2570.98,965.00,11/16/21
0,2656.85,2711.75,2643,1,016.00,11/15/21
0,2700,2707,2642.5,1,412.00,11/12/21
0,2659.43,2667,2602.75,1,078.00,11/11/21
0,2581.02,2592.72,2574,418.00,11/10/21
0,2561.33,2613,2545,1,586.00,11/09/21
0,2605,2609.59,2540.21,854.00,11/08/21
0,2554.48,2580,2520.85,1,153.00,11/05/21
0,2564.39,2676,2553.41,1,473.00,11/04/21
0,2659.75,2736,2655.85,1,183.00,11/03/21
0,2692.35,2719.1,2692.35,1,245.00,11/02/21
0,2714.5,2767.15,2714.5,891.00,11/01/21
0,2716.25,2740.27,2669,1,274.00,10/29/21
0,2762.44,2765,2605.5,1,608.00,10/28/21
0,2684.23,2835,2669,2,320.00,10/27/21
0,2834.37,2876.5,2828.85,1,148.00,10/26/21
0,2875.5,2943.96,2873.25,882.00,10/25/21
0,2868.15,2956.85,2863,1,175.00,10/22/21
0,2910.5,3118.75,2910.3,1,350.00,10/21/21
0,3069.35,3095.8,3013,1,338.00,10/20/21
0,3108.63,3211,3106.72,2,094.00,10/19/21
0,3167.7,3200.16,3154.98,1,701.00,10/18/21
0,3164.5,3190,3098.62,1,447.00,10/15/21
0,3122.15,3171.85,3088,1,380.00,10/14/21
0,3063.74,3100,3000.98,915.00,10/13/21
0,3063.89,3106.5,3032.5,1,694.00,10/12/21
0,3049.76,3065.65,2950.5,1,781.00,10/11/21
0,2957.85,2965.85,2917,944.00,10/08/21
0,2945.65,2946.15,2902.5,1,292.00,10/07/21
0,2897.3,2917.41,2882.5,594.00,10/06/21
0,2921,2924.85,2894,1,264.00,10/05/21
0,2916.15,2927,2873.15,501.00,10/04/21
0,2849.65,2882,2829,508.00,10/01/21
0,2858.5,2909.66,2831,2,138.00,09/30/21
0,2912.85,2941,2910.76,812.00,09/29/21
0,2944.5,2945,2874.75,1,243.00,09/28/21
0,2891.1,2915.73,2883.35,1,116.00,09/27/21
0,2926.85,2935.5,2891.25,845.00,09/24/21
0,2949.5,2961.56,2949.25,1,683.00,09/23/21
0,2938.35,2942,2897.5,674.00,09/22/21
0,2846,2896.5,2838,903.00,09/21/21
0,2863,2883,2836,1,005.00,09/20/21
0,2886.15,2930.75,2874.25,1,436.00,09/17/21
0,2882.05,2899.2,2854.5,730.00,09/16/21
0,2893,2923,2837.75,3,500.00,09/15/21
0,2830.85,2888.38,2826,1,557.00,09/14/21
0,2891.59,2992.46,2889.21,2,782.00,09/13/21
0,2916.07,2928.35,2872.38,1,240.00,09/10/21
0,2839.5,2841.71,2808.25,1,025.00,09/09/21
0,2795.89,2806.85,2772,1,025.00,09/08/21
0,2756.85,2776.5,2756.8,676.00,09/07/21
0,2764.51,2779.64,2756,769.00,09/06/21
0,2727.15,2728,2680.85,1,087.00,09/03/21
0,2701.85,2729.75,2694.85,620.00,09/02/21
0,2689.85,2713.87,2664,628.00,09/01/21
0,2709.57,2719.5,2689,1,580.00,08/31/21
0,2649.5,2670,2633.75,1,535.00,08/27/21
