Date,Close/Last,Volume,Open,High,Low
06/17/2022,2470.00,N/A,2470.00,2470.00,2470.00
06/16/2022,2484.25,5,2484.25,2484.25,2484.25
06/15/2022,2574.00,29,2574.00,2574.00,2574.00
06/14/2022,2543.00,56,2540.75,2548.00,2540.75
06/13/2022,2616.00,63,2615.50,2618.50,2613.00
06/10/2022,2653.50,131,2656.00,2656.50,2656.00
06/09/2022,2741.50,43,2741.50,2741.50,2741.50
06/08/2022,2802.00,154,2802.00,2802.00,2802.00
06/07/2022,2758.00,132,2726.75,2727.00,2721.75
06/06/2022,2765.00,219,2765.00,2765.00,2765.00
06/03/2022,2712.50,N/A,2712.50,2712.50,2712.50
06/02/2022,2712.50,N/A,2712.50,2712.50,2712.50
06/01/2022,2708.25,536,2792.00,2792.00,2705.50
05/31/2022,2781.25,25,2800.00,2800.00,2800.00
05/27/2022,2866.25,20,2866.25,2866.25,2866.25
05/26/2022,2856.00,8,2856.00,2856.00,2856.00
05/25/2022,2871.50,16,2857.75,2857.75,2857.75
05/24/2022,2897.50,69,2897.50,2897.50,2897.50
05/23/2022,2956.75,137,2979.00,2985.25,2951.25
05/20/2022,2950.25,33,2950.25,2950.25,2950.25
05/19/2022,2907.00,43,2912.75,2912.75,2912.25
05/18/2022,2853.75,175,2853.75,2853.75,2853.75
05/17/2022,2882.75,27,2882.75,2882.75,2882.75
05/16/2022,2830.00,131,2831.25,2837.50,2821.00
05/13/2022,2796.75,274,2778.00,2830.50,2736.25
05/12/2022,2753.50,552,2756.25,2768.00,2728.25
05/11/2022,2792.00,175,2805.25,2809.25,2768.50
05/10/2022,2766.00,2670,2778.25,2778.25,2713.25
05/09/2022,2763.50,2472,2827.00,2829.00,2756.75
05/06/2022,2831.00,N/A,2831.00,2831.00,2831.00
05/05/2022,2896.50,N/A,2896.50,2896.50,2896.50
05/04/2022,2958.50,N/A,2958.50,2958.50,2958.50
05/03/2022,2900.00,9,2900.00,2900.00,2900.00
05/02/2022,3370.75,N/A,3370.75,3370.75,3370.75
04/29/2022,3057.75,1,3029.50,3029.50,3029.50
